epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,268.265,0.96618,8.31768,0.59031,0.84091,0.0256,16.4055,0.9591,0.95579,0.9766,0.8252,0.1983,0.20361,0.09488,0.02421,0.66437,7.39514,0.48778,0.27868,0.02875,0,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686
2,506.748,0.60204,5.66315,0.3546,0.30295,0.01457,7.48492,0.93618,0.95442,0.9747,0.83757,0.47268,0.467,0.33987,0.10813,0.62992,5.69371,0.41225,0.29403,0.02751,0,0.0198817,0.00662723,0.0198817,0.00662723,0.0198817,0.00662723,0.0198817,0.00662723
3,725.727,0.62702,5.02412,0.30179,0.32081,0.0151,6.48011,0.92793,0.94599,0.97113,0.80337,0.44916,0.42092,0.29786,0.10191,0.74229,5.79754,0.36634,0.35576,0.03268,0,0.0296838,0.00989459,0.0296838,0.00989459,0.0296838,0.00989459,0.0296838,0.00989459
4,944.748,0.64343,4.52595,0.27277,0.33423,0.01525,5.67499,0.93782,0.93919,0.96966,0.77645,0.60563,0.57036,0.49656,0.2251,0.79875,4.74087,0.32729,0.37094,0.03516,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1164.1,0.60192,3.91876,0.25139,0.31783,0.0142,4.75789,0.94182,0.9561,0.97426,0.82604,0.68406,0.62554,0.59022,0.3592,0.63911,3.99177,0.31069,0.31635,0.02761,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1383.88,0.56999,3.54592,0.24099,0.29559,0.01325,4.01475,0.95448,0.95314,0.97676,0.84106,0.71616,0.65669,0.63596,0.40598,0.61394,3.65209,0.29193,0.29128,0.02659,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1603.21,0.54896,3.31707,0.23207,0.29515,0.01259,3.68214,0.9541,0.94863,0.97891,0.85473,0.70777,0.67653,0.64557,0.44741,0.5666,3.51998,0.28408,0.27933,0.02422,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1822.48,0.53553,3.14681,0.22455,0.28967,0.01225,3.3814,0.95874,0.95797,0.98102,0.85177,0.77429,0.63759,0.63694,0.40642,0.57592,3.52162,0.27869,0.27134,0.02463,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2041.77,0.52811,3.01951,0.21841,0.27694,0.012,3.12946,0.9499,0.95633,0.97577,0.85313,0.78602,0.67931,0.69096,0.48582,0.5572,3.2756,0.26805,0.29651,0.02396,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2261.33,0.50973,2.87674,0.21361,0.27038,0.01153,2.88904,0.94753,0.96695,0.98071,0.83898,0.77653,0.67808,0.69929,0.49016,0.63636,3.21354,0.26399,0.29439,0.02762,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
